term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0002253,"activation of immune response",0.218%,-3.2343,0.287,0.000,"activation of immune response"
GO:0044092,"negative regulation of molecular function",0.375%,-1.7311,0.517,0.263,"activation of immune response"
GO:0031396,"regulation of protein ubiquitination",0.013%,-2.0321,0.414,0.209,"activation of immune response"
GO:0006952,"defense response",0.961%,-1.9972,0.664,0.374,"activation of immune response"
GO:0035556,"intracellular signal transduction",2.482%,-1.5963,0.418,0.483,"activation of immune response"
GO:0006954,"inflammatory response",0.173%,-1.5665,0.673,0.545,"activation of immune response"
GO:0051248,"negative regulation of protein metabolic process",0.209%,-1.8270,0.415,0.628,"activation of immune response"
GO:0001817,"regulation of cytokine production",0.109%,-1.3908,0.635,0.244,"activation of immune response"
GO:0031397,"negative regulation of protein ubiquitination",0.004%,-1.6984,0.366,0.676,"activation of immune response"
GO:0007155,"cell adhesion",0.622%,-1.3520,0.841,0.000,"cell adhesion"
GO:0022610,"biological adhesion",2.091%,-1.3520,0.913,0.000,"biological adhesion"
